No,NoM,NaM,S,VP,PK,MM,PA,PM,PK,TP,TT
1,3110166,CABLE PWR;NYAF;10mm2;230/380V;OH,M,NORMAL,0,400,400,400,0,14/10/2020,30/11/2020
2,3250006,MCB;110VDC;2P;6A;;,BH,NORMAL,10,0,10,10,0,20/09/2021,26/10/2021
3,3250018,MCB;220/250V;1P;6A;50Hz;,BH,NORMAL,0,32,32,10,22,22/10/2020,20/11/2020
4,3250018,MCB;220/250V;1P;6A;50Hz;,BH,NORMAL,22,0,22,22,0,29/12/2020,29/12/2020
5,3250294,MCB;220VAC;1P;10A;50HZ;,BH,NORMAL,0,10,10,10,0,20/09/2021,26/10/2021
6,4010036,BATTERY;LEADACID;POCKET;PLAS TIC;12V;65Ah,CEL,NORMAL,0,6,6,5,1,17/04/2020,6/2/2020
7,4010036,BATTERY;LEADACID;POCKET;PLAS TIC;12V;65Ah,CEL,NORMAL,1,0,1,1,0,21/07/2020,21/07/2020
8,4010036,BATTERY;LEADACID;POCKET;PLAS TIC;12V;65Ah,CEL,NORMAL,0,7,7,2,5,11/10/2020,20/11/2020
9,4010036,BATTERY;LEADACID;POCKET;PLAS TIC;12V;65Ah,CEL,NORMAL,5,0,5,5,0,12/3/2020,12/3/2020
10,4010036,BATTERY;LEADACID;POCKET;PLAS TIC;12V;65Ah,CEL,NORMAL,0,1,1,1,0,7/1/2021,30/08/2021
11,4010036,BATTERY;LEADACID;POCKET;PLAS TIC;12V;65Ah,CEL,NORMAL,0,5,5,5,0,14/10/2021,27/10/2021
12,4030005,CHARGER;220VAC;1P;12VDC;M;30 A,U,NORMAL,0,2,2,2,0,7/1/2021,30/08/2021
13,4030005,CHARGER;220VAC;1P;12VDC;M;30 A,U,NORMAL,0,1,1,1,0,11/10/2020,20/11/2020
14,4150037,PANEL ACC;TERMINAL BLADE,BH,NORMAL,0,200,200,200,0,22/10/2020,20/11/2020
15,4150037,PANEL ACC;TERMINAL BLADE,BH,NORMAL,0,500,500,500,0,20/09/2021,26/10/2021
16,4150100,PANEL ACC;SELECTOR SWITCH 2 POLE,BH,NORMAL,0,88,88,88,0,22/10/2020,12/2/2020
17,4150237,PANEL ACC;SELECTOR SWITCH 3 POLE,BH,NORMAL,0,10,10,10,0,14/10/2020,29/12/2020
18,4160003,CABLE CTRL;COAXIAL RG8 50OHM;;;,M,NORMAL,200,0,200,200,0,27/01/2020,27/01/2020
19,4160003,CABLE CTRL;COAXIAL RG8 50OHM;;;,M,NORMAL,0,300,300,300,0,11/10/2020,20/11/2020
20,4160013,CABLE CTRL;NYAF;1x1/5mm2;0/6/1kV;O H,M,NORMAL,0,800,800,800,0,21/09/2020,12/1/2020
21,4160014,CABLE CTRL;NYAF;1X2/5mm2;0/6/1kV;O H,M,NORMAL,0,800,800,800,0,21/09/2020,12/1/2020
22,4160015,CABLE CTRL;NYAF;1X4mm2;0/6/1kV;OH,M,NORMAL,0,400,400,400,0,21/09/2020,12/1/2020
23,4160021,CABLE CTRL;NYCY;4X6mm2;0/6/1kV;OH,M,NORMAL,0,500,500,200,300,13/05/2020,15/05/2020
24,4160021,CABLE CTRL;NYCY;4X6mm2;0/6/1kV;OH,M,NORMAL,300,0,300,100,200,30/11/2020,30/11/2020
25,4160021,CABLE CTRL;NYCY;4X6mm2;0/6/1kV;OH,M,NORMAL,200,0,200,200,0,12/1/2020,12/1/2020
26,4160107,CABLE CTRL;NYY;3X2/5mm2;0/6/1kV;OH,M,NORMAL,0,300,300,300,0,20/09/2021,26/10/2021
27,4160108,CABLE CTRL;NYY;3X1/5mm2;0/6/1kV;OH,M,NORMAL,0,300,300,300,0,20/09/2021,26/10/2021
28,4160290,CABLE CTRL;NYY;1X1/5MM2;0/6/1KV;OH,M,NORMAL,0,400,400,400,0,20/09/2021,26/10/2021
29,4160337,"CABLE CTRL;NYMHY;18X1,5MM2;0,6/1KV ;OH",M,NORMAL,0,500,500,500,0,14/10/2020,12/1/2020
30,4191002,UNIV ACC;AQUADES,L,NORMAL,0,500,500,60,440,14/10/2020,12/1/2020
31,4191002,UNIV ACC;AQUADES,L,NORMAL,440,0,440,180,260,17/12/2020,17/12/2020
32,4191002,UNIV ACC;AQUADES,L,NORMAL,260,0,260,96,164,18/12/2020,18/12/2020
33,4191002,UNIV ACC;AQUADES,L,NORMAL,164,0,164,14,150,22/12/2020,22/12/2020
34,4191002,UNIV ACC;AQUADES,L,NORMAL,150,14,164,164,0,22/12/2020,22/12/2020
35,4191191,UNIV ACC;CABLE STP,ROL,NORMAL,0,2,2,1,1,13/07/2020,21/07/2020
36,4191191,UNIV ACC;CABLE STP,ROL,NORMAL,1,0,1,1,0,21/09/2020,21/09/2020
37,4191191,UNIV ACC;CABLE STP,ROL,NORMAL,0,2,2,2,0,14/10/2020,30/11/2020
38,4191611,UNIV ACC;RJ-45 DATA CONNECTOR,BH,NORMAL,150,0,150,150,0,15/05/2020,15/05/2020
39,4191877,UNIV ACC;BUZZER 110VDC,BH,NORMAL,0,16,16,16,0,22/10/2020,12/2/2020
40,4192132,UNIV ACC;MOXA 8 PORT 10/100M,U,NORMAL,0,1,1,1,0,25/03/2021,29/03/2021
41,4192132,UNIV ACC;MOXA 8 PORT 10/100M,U,NORMAL,0,2,2,2,0,14/10/2021,27/10/2021
42,4192207,UNIV ACC;CONNECTOR RJ45 CAT 6,BH,NORMAL,0,250,250,250,0,7/9/2021,30/08/2021
43,4192345,UNIV ACC;RADIO BASE DIGITAL,U,NORMAL,0,2,2,2,0,7/1/2021,30/08/2021
44,4192385,UNIV ACC;GROUNDING ROD 5/8,BH,NORMAL,0,2,2,2,0,11/10/2020,20/11/2020
45,4192649,UNIV ACC;WIRELESS KEYBOARD & MOUSE,SET,NORMAL,0,1,1,1,0,7/9/2021,30/08/2021
46,4192974,UNIV ACC;WEBCAM RALLY CAMERA,U,NORMAL,0,1,1,1,0,6/9/2021,6/9/2021
47,4192974,UNIV ACC;WEBCAM RALLY CAMERA,U,NORMAL,0,1,1,1,0,6/9/2021,16/06/2021
48,4193036,UNIV ACC;CONNECTOR RJ 45 CAT 5,BH,NORMAL,0,250,250,250,0,7/9/2021,30/08/2021
49,4193042,UNIV ACC;POWER METER 110V,BH,NORMAL,3,9,12,12,0,20/09/2021,26/10/2021
50,5020038,PLC ACC;IP TELEPHONE,U,NORMAL,0,2,2,2,0,14/10/2021,27/10/2021
51,5040018,RADIO ACC;CONNECTOR RG/8,U,NORMAL,0,15,15,15,0,14/10/2021,27/10/2021
52,5040020,RADIO ACC;REPEATER 136-174MHz,U,NORMAL,0,1,1,1,0,7/1/2021,27/10/2021
53,5040031,RADIO ACC;ANTENA OMNI 136-174MHz,U,NORMAL,3,0,3,3,0,27/01/2020,27/01/2020
54,5040031,RADIO ACC;ANTENA OMNI 136-174MHz,U,NORMAL,0,4,4,2,2,11/10/2020,20/11/2020
55,5040031,RADIO ACC;ANTENA OMNI 136-174MHz,U,NORMAL,2,0,2,2,0,30/11/2020,30/11/2020
56,5040031,RADIO ACC;ANTENA OMNI 136-174MHz,U,NORMAL,0,2,2,2,0,7/1/2021,30/08/2021
57,5040037,RADIO ACC;ANTENA YAGI 11 EL 136-174MHz,SET,NORMAL,0,2,2,2,0,7/1/2021,30/08/2021
58,5040037,RADIO ACC;ANTENA YAGI 11 EL 136-174MHz,SET,NORMAL,0,2,2,1,1,14/10/2021,27/10/2021
59,5040104,RADIO ACC;POWER SUPPLY 12V 30A,BH,NORMAL,0,3,3,3,0,17/04/2020,6/2/2020
60,5040138,RADIO ACC;CONNECTOR RG/8 N-MALE SOLDER,BH,NORMAL,0,10,10,10,0,14/10/2021,27/10/2021
61,5040182,RADIO ACC;COAXIAL CABLE HELIAX 1/4,M,NORMAL,0,200,200,200,0,14/10/2021,27/10/2021
62,5060083,FOC ACC;ROUTER BOARD CISCO 1941,U,NORMAL,0,2,2,1,1,25/03/2021,29/03/2021
63,5060083,FOC ACC;ROUTER BOARD CISCO 1941,U,NORMAL,1,0,1,1,0,29/03/2021,29/03/2021
64,5060196,FOC ACC;CABLE UTP CAT 6E,M,NORMAL,0,915,915,915,0,20/09/2021,27/10/2021
65,5060211,FOC ACC;FIBER OPTIC ATTENUATOR LC 10DB,BH,NORMAL,0,8,8,8,0,11/10/2020,20/11/2020
66,5060212,FOC ACC;FIBER OPTIC ATTENUATOR LC 5DB,BH,NORMAL,0,10,10,10,0,11/10/2020,20/11/2020
67,5080046,MC ACC;PROJECTOR INFOCUS,BH,NORMAL,0,1,1,1,0,6/9/2021,6/9/2021
68,5080046,MC ACC;PROJECTOR INFOCUS,BH,NORMAL,0,1,1,1,0,6/9/2021,30/08/2021
69,5080060,MC ACC;FILTER MIMIC,BH,NORMAL,0,16,16,16,0,13/05/2020,15/05/2020
70,5080060,MC ACC;FILTER MIMIC,BH,NORMAL,0,16,16,16,0,20/09/2021,26/10/2021
71,5100167,RTU ACC;IED METER,BH,NORMAL,0,3,3,3,0,13/05/2020,21/09/2020
72,5100167,RTU ACC;IED METER,BH,NORMAL,0,5,5,5,0,21/09/2020,30/11/2020
73,5100309,RTU ACC;GHU 211,U,NORMAL,0,3,3,3,0,19/05/2021,28/05/2021
74,5160007,MUX ACC;MODUL ROUTER,BH,NORMAL,0,6,6,6,0,22/10/2020,20/11/2020
75,5160007,MUX ACC;MODUL ROUTER,BH,NORMAL,0,4,4,2,2,25/03/2021,29/03/2021
76,5160007,MUX ACC;MODUL ROUTER,BH,NORMAL,2,0,2,2,0,29/03/2021,29/03/2021
77,6020023,HARDWARE;WORKSTATION,BH,NORMAL,0,2,2,2,0,7/9/2021,30/08/2021
78,6020023,HARDWARE;WORKSTATION,BH,NORMAL,0,4,4,4,0,20/09/2021,26/10/2021
79,6020037,HARDWARE;RIBBON;PRINTNX;LPM 1000/1500,BH,NORMAL,0,2,2,2,0,22/10/2020,12/2/2020
80,6020054,HARDWARE;MONITOR;LED;32 I,U,NORMAL,0,1,1,1,0,7/9/2021,30/08/2021
81,6020087,HARDWARE;SWITCH;1000MBPS;16P ORT,U,NORMAL,0,1,1,1,0,25/03/2021,29/03/2021
82,6020136,HARDWARE;MIKROTIK ROUTER RB1100AH;;;,BH,NORMAL,0,1,1,1,0,7/9/2021,30/08/2021
83,6020167,HARDWARE;IP PHONE;CP-3905;,BH,NORMAL,0,3,3,3,0,17/04/2020,28/04/2020
84,6020167,HARDWARE;IP PHONE;CP-3905;,BH,NORMAL,0,3,3,3,0,11/10/2020,20/11/2020
85,6020172,HARDWARE;CONVERTER;FO TO RJ45;1MODE120KM,BH,NORMAL,0,4,4,4,0,22/10/2020,20/11/2020
86,6020172,HARDWARE;CONVERTER;FO TO RJ45;1MODE120KM,BH,NORMAL,0,1,1,1,0,14/10/2020,30/11/2020
87,6020186,HARDWARE;ACCESS POINT;;,U,NORMAL,0,2,2,2,0,13/07/2020,13/07/2020
88,6020187,HARDWARE;CPU;QUARD CORE;,U,NORMAL,0,1,1,1,0,6/9/2021,6/9/2021
89,6020187,HARDWARE;CPU;QUARD CORE;,U,NORMAL,0,1,1,1,0,6/9/2021,30/08/2021
90,6020247,HARDWARE;MONITOR;LED;65INCH,U,NORMAL,0,1,1,1,0,6/9/2021,6/9/2021
91,6020247,HARDWARE;MONITOR;LED;65INCH,U,NORMAL,0,1,1,1,0,6/9/2021,16/06/2021
92,7020355,TOOL E;TANG AMPER DIGITAL 1000A,BH,NORMAL,0,1,1,1,0,17/04/2020,28/04/2020
