Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-1985,,,26.5,72.0,0.0,0.0,0.0,0.0,0.0,N 
02-01-1985,,,24.2,87.0,29.0,0.0,0.0,0.0,0.0,N 
03-01-1985,,,25.2,92.0,0.0,0.0,0.0,0.0,0.0,N 
04-01-1985,,,23.7,93.0,52.0,0.0,0.0,0.0,0.0,N 
05-01-1985,,,23.9,90.0,3.0,0.0,0.0,0.0,0.0,N 
06-01-1985,,,24.8,84.0,0.0,0.0,0.0,0.0,0.0,N 
07-01-1985,,,25.1,86.0,17.0,0.0,0.0,0.0,0.0,N 
08-01-1985,,,25.4,85.0,0.0,0.0,0.0,0.0,0.0,N 
09-01-1985,,,23.8,94.0,164.0,0.0,0.0,0.0,0.0,N 
10-01-1985,,,24.4,92.0,91.0,0.0,0.0,0.0,0.0,N 
11-01-1985,,,23.6,97.0,17.0,0.0,0.0,0.0,0.0,N 
12-01-1985,,,23.7,91.0,64.0,0.0,0.0,0.0,0.0,N 
13-01-1985,,,26.2,78.0,23.0,0.0,0.0,0.0,0.0,N 
14-01-1985,,,25.4,83.0,0.0,0.0,0.0,0.0,0.0,N 
15-01-1985,,,27.5,60.0,0.0,0.0,0.0,0.0,0.0,N 
16-01-1985,,,25.7,74.0,0.0,0.0,0.0,0.0,0.0,N 
17-01-1985,,,26.0,72.0,0.0,0.0,0.0,0.0,0.0,N 
18-01-1985,,,25.1,78.0,0.0,0.0,0.0,0.0,0.0,N 
19-01-1985,,,24.7,81.0,0.0,0.0,0.0,0.0,0.0,N 
20-01-1985,,,24.7,89.0,0.0,0.0,0.0,0.0,0.0,N 
21-01-1985,,,27.1,70.0,0.0,0.0,0.0,0.0,0.0,N 
22-01-1985,,,27.6,69.0,0.0,0.0,0.0,0.0,0.0,N 
23-01-1985,,,24.9,88.0,66.0,0.0,0.0,0.0,0.0,N 
24-01-1985,,,23.8,98.0,3.0,0.0,0.0,0.0,0.0,N 
25-01-1985,,,24.0,91.0,9.0,0.0,0.0,0.0,0.0,N 
26-01-1985,,,24.3,91.0,3.0,0.0,0.0,0.0,0.0,N 
27-01-1985,,,25.1,88.0,0.0,0.0,0.0,0.0,0.0,N 
28-01-1985,,,26.6,82.0,0.0,0.0,0.0,0.0,0.0,N 
29-01-1985,,,26.0,83.0,0.0,0.0,0.0,0.0,0.0,N 
30-01-1985,,,23.7,96.0,28.0,0.0,0.0,0.0,0.0,N 
31-01-1985,,,25.9,80.0,7.0,0.0,0.0,0.0,0.0,N 
01-02-1985,,,25.1,92.0,7.0,0.0,0.0,0.0,0.0,N 
02-02-1985,,,24.6,93.0,0.0,0.0,0.0,0.0,0.0,N 
03-02-1985,,,26.5,90.0,3.0,0.0,0.0,0.0,0.0,N 
04-02-1985,,,,,51.0,0.0,0.0,0.0,0.0,N 
05-02-1985,,,24.2,92.0,59.0,0.0,0.0,0.0,0.0,N 
06-02-1985,,,23.4,100.0,50.0,0.0,0.0,0.0,0.0,N 
07-02-1985,,,26.5,88.0,0.0,0.0,0.0,0.0,0.0,N 
08-02-1985,,,26.0,93.0,41.0,0.0,0.0,0.0,0.0,N 
09-02-1985,,,23.9,,7.0,0.0,0.0,0.0,0.0,N 
10-02-1985,,,24.9,82.0,25.0,0.0,0.0,0.0,0.0,N 
11-02-1985,,,23.0,90.0,113.0,0.0,0.0,0.0,0.0,N 
12-02-1985,,,23.1,90.0,1.0,0.0,0.0,0.0,0.0,N 
13-02-1985,,,23.6,86.0,0.0,0.0,0.0,0.0,0.0,N 
14-02-1985,,,23.6,88.0,0.0,0.0,0.0,0.0,0.0,N 
15-02-1985,,,26.0,87.0,0.0,0.0,0.0,0.0,0.0,N 
16-02-1985,,,26.4,85.0,0.0,0.0,0.0,0.0,0.0,N 
17-02-1985,,,26.3,84.0,0.0,0.0,0.0,0.0,0.0,N 
18-02-1985,,,26.4,82.0,0.0,0.0,0.0,0.0,0.0,N 
19-02-1985,,,26.6,84.0,0.0,0.0,0.0,0.0,0.0,N 
20-02-1985,,,25.1,83.0,0.0,0.0,0.0,0.0,0.0,N 
21-02-1985,,,25.2,83.0,0.0,0.0,0.0,0.0,0.0,N 
22-02-1985,,,25.6,81.0,0.0,0.0,0.0,0.0,0.0,N 
23-02-1985,,,25.2,82.0,0.0,0.0,0.0,0.0,0.0,N 
24-02-1985,,,25.4,84.0,0.0,0.0,0.0,0.0,0.0,N 
25-02-1985,,,25.1,84.0,0.0,0.0,0.0,0.0,0.0,N 
26-02-1985,,,23.8,90.0,0.0,0.0,0.0,0.0,0.0,N 
27-02-1985,,,25.8,82.0,0.0,0.0,0.0,0.0,0.0,N 
28-02-1985,,,26.7,84.0,0.0,0.0,0.0,0.0,0.0,N 
01-03-1985,,,23.1,96.0,84.0,0.0,0.0,0.0,0.0,N 
02-03-1985,,,22.5,99.0,48.0,0.0,0.0,0.0,0.0,N 
03-03-1985,,,24.0,94.0,40.0,0.0,0.0,0.0,0.0,N 
04-03-1985,,,24.7,89.0,24.0,0.0,0.0,0.0,0.0,N 
05-03-1985,,,24.7,88.0,0.0,0.0,0.0,0.0,0.0,N 
06-03-1985,,,25.0,88.0,28.0,0.0,0.0,0.0,0.0,N 
07-03-1985,,,23.4,92.0,27.0,0.0,0.0,0.0,0.0,N 
08-03-1985,,,25.9,77.0,10.0,0.0,0.0,0.0,0.0,N 
09-03-1985,,,24.7,85.0,0.0,0.0,0.0,0.0,0.0,N 
10-03-1985,,,25.2,83.0,0.0,0.0,0.0,0.0,0.0,N 
